Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Id,Store_Size,Store_Location_City_Type,Store_Type,Store_Age,target
12.43,Low Sugar,0.128,Dairy,135.64,OUT004,Medium,Tier 2,Supermarket Type2,17,3169.51
13.75,Low Sugar,0.025,Snack Foods,198.23,OUT001,High,Tier 2,Supermarket Type1,39,4749.18
12.5,No Sugar,0.032,Household,149.26,OUT004,Medium,Tier 2,Supermarket Type2,17,3463.5
10.86,No Sugar,0.151,Health and Hygiene,90.61,OUT002,Small,Tier 3,Food Mart,28,1893.65
12.38,Low Sugar,0.015,Canned,146.22,OUT004,Medium,Tier 2,Supermarket Type2,17,3374.78
14.57,Low Sugar,0.021,Dairy,158.74,OUT001,High,Tier 2,Supermarket Type1,39,4125.19
15.55,Regular,0.025,Fruits and Vegetables,163.35,OUT003,Medium,Tier 1,Departmental Store,27,4442.13
17.44,No Sugar,0.094,Others,181.24,OUT003,Medium,Tier 1,Departmental Store,27,5235.95
14.57,Low Sugar,0.053,Snack Foods,208.65,OUT003,Medium,Tier 1,Departmental Store,27,5147.25
16.68,Regular,0.015,Dairy,191.27,OUT003,Medium,Tier 1,Departmental Store,27,5269.5
12.01,Low Sugar,0.094,Frozen Foods,116.6,OUT003,Medium,Tier 1,Departmental Store,27,6275.74
9.49,Low Sugar,0.055,Snack Foods,140.55,OUT004,Medium,Tier 2,Supermarket Type2,17,2605.92
12.52,Low Sugar,0.011,Dairy,126.79,OUT004,Medium,Tier 2,Supermarket Type2,17,2964.71
16.96,Regular,0.173,Fruits and Vegetables,204.5,OUT003,Medium,Tier 1,Departmental Store,27,5602.23
10.7,Low Sugar,0.041,Baking Goods,160.61,OUT004,Medium,Tier 2,Supermarket Type2,17,3289.27
8.9,Regular,0.223,Snack Foods,146.94,OUT004,Medium,Tier 2,Supermarket Type2,17,2602.9
10.98,Low Sugar,0.125,Frozen Foods,184.29,OUT004,Medium,Tier 2,Supermarket Type2,17,3836.73
13.45,Low Sugar,0.092,Hard Drinks,153.92,OUT004,Medium,Tier 2,Supermarket Type2,17,3774.1
15.05,Low Sugar,0.076,Snack Foods,168.99,OUT003,Medium,Tier 1,Departmental Store,27,4443.71
13.94,Low Sugar,0.133,Snack Foods,150.89,OUT004,Medium,Tier 2,Supermarket Type2,17,3823.7
13.43,Low Sugar,0.027,Baking Goods,170.69,OUT001,High,Tier 2,Supermarket Type1,39,4112.45
13.76,Low Sugar,0.153,Dairy,164.47,OUT001,High,Tier 2,Supermarket Type1,39,4060.69
16.11,Regular,0.102,Frozen Foods,169.5,OUT001,High,Tier 2,Supermarket Type1,39,4693.52
13.46,No Sugar,0.063,Household,192.52,OUT001,High,Tier 2,Supermarket Type1,39,4566.7
13.1,Low Sugar,0.16,Snack Foods,139.51,OUT004,Medium,Tier 2,Supermarket Type2,17,3399.29
12.04,No Sugar,0.086,Household,162.26,OUT002,Small,Tier 3,Food Mart,28,512.42
9.72,Low Sugar,0.075,Fruits and Vegetables,107.95,OUT002,Small,Tier 3,Food Mart,28,1990.47
9.68,Regular,0.041,Meat,160.78,OUT004,Medium,Tier 2,Supermarket Type2,17,3061.6
11.01,Regular,0.083,Breads,97.66,OUT002,Small,Tier 3,Food Mart,28,2269.28
13.44,Low Sugar,0.063,Baking Goods,150.64,OUT004,Medium,Tier 2,Supermarket Type2,17,3703.97
14.36,Regular,0.097,Soft Drinks,194.29,OUT001,High,Tier 2,Supermarket Type1,39,4806.35
14.19,Low Sugar,0.093,Soft Drinks,198.31,OUT001,High,Tier 2,Supermarket Type1,39,4849.99
14.06,No Sugar,0.142,Household,144.51,OUT004,Medium,Tier 2,Supermarket Type2,17,5020.74
15.01,No Sugar,0.094,Household,164.47,OUT003,Medium,Tier 1,Departmental Store,27,4342.22
8.73,Low Sugar,0.056,Snack Foods,101.72,OUT002,Small,Tier 3,Food Mart,28,1638.91
11.05,Regular,0.16,Baking Goods,163.96,OUT004,Medium,Tier 2,Supermarket Type2,17,3437.86
12.76,No Sugar,0.042,Health and Hygiene,140.2,OUT004,Medium,Tier 2,Supermarket Type2,17,3337.52
12.31,Low Sugar,0.029,Baking Goods,132.27,OUT004,Medium,Tier 2,Supermarket Type2,17,3073.84
14.94,No Sugar,0.077,Household,188.74,OUT001,High,Tier 2,Supermarket Type1,39,4823.62
9.27,Low Sugar,0.06,Fruits and Vegetables,105.33,OUT002,Small,Tier 3,Food Mart,28,1835.94
12.82,Low Sugar,0.038,Frozen Foods,150.37,OUT004,Medium,Tier 2,Supermarket Type2,17,3560.07
9.36,Regular,0.036,Baking Goods,117.28,OUT002,Small,Tier 3,Food Mart,28,2100.59
9.85,No Sugar,0.021,Health and Hygiene,171.56,OUT004,Medium,Tier 2,Supermarket Type2,17,3322.39
15.56,Regular,0.03,Fruits and Vegetables,137.87,OUT004,Medium,Tier 2,Supermarket Type2,17,3924.03
13.98,Regular,0.27,Dairy,121.45,OUT004,Medium,Tier 2,Supermarket Type2,17,3228.85
13.69,Low Sugar,0.028,Snack Foods,169.01,OUT001,High,Tier 2,Supermarket Type1,39,4138.23
14.39,Low Sugar,0.021,Baking Goods,114.68,OUT004,Medium,Tier 2,Supermarket Type2,17,3184.62
12.54,Low Sugar,0.188,Soft Drinks,113.72,OUT004,Medium,Tier 2,Supermarket Type2,17,2746.67
7.86,Low Sugar,0.064,Snack Foods,90.25,OUT002,Small,Tier 3,Food Mart,28,1208.89
16.29,Regular,0.184,Frozen Foods,217.94,OUT003,Medium,Tier 1,Departmental Store,27,5726.19
11.71,Regular,0.103,Dairy,176.85,OUT003,Medium,Tier 1,Departmental Store,27,5720.18
15.61,No Sugar,0.102,Household,143.44,OUT001,High,Tier 2,Supermarket Type1,39,4048.25
13.37,Regular,0.144,Fruits and Vegetables,173.1,OUT001,High,Tier 2,Supermarket Type1,39,4149.85
12.95,Low Sugar,0.021,Dairy,145.95,OUT004,Medium,Tier 2,Supermarket Type2,17,3497.6
11.96,Low Sugar,0.062,Frozen Foods,143.25,OUT004,Medium,Tier 2,Supermarket Type2,17,3219.56
13.98,Low Sugar,0.103,Baking Goods,147.47,OUT004,Medium,Tier 2,Supermarket Type2,17,3762.39
14.14,No Sugar,0.018,Household,140.66,OUT004,Medium,Tier 2,Supermarket Type2,17,3658.41
9.0,No Sugar,0.03,Health and Hygiene,31.0,OUT002,Small,Tier 3,Food Mart,28,253.53
11.95,Regular,0.041,Canned,135.58,OUT004,Medium,Tier 2,Supermarket Type2,17,3059.57
10.55,No Sugar,0.072,Health and Hygiene,111.63,OUT002,Small,Tier 3,Food Mart,28,2254.13
13.19,Low Sugar,0.235,Snack Foods,141.68,OUT004,Medium,Tier 2,Supermarket Type2,17,3464.61
12.39,No Sugar,0.021,Household,118.51,OUT004,Medium,Tier 2,Supermarket Type2,17,2810.58
11.73,No Sugar,0.015,Household,170.07,OUT004,Medium,Tier 2,Supermarket Type2,17,3716.96
14.88,Regular,0.099,Canned,146.81,OUT004,Medium,Tier 2,Supermarket Type2,17,3951.97
16.01,No Sugar,0.104,Health and Hygiene,237.33,OUT003,Medium,Tier 1,Departmental Store,27,6058.97
10.9,Low Sugar,0.061,Meat,150.45,OUT004,Medium,Tier 2,Supermarket Type2,17,3126.88
12.58,No Sugar,0.026,Health and Hygiene,120.93,OUT004,Medium,Tier 2,Supermarket Type2,17,2903.64
13.32,Low Sugar,0.047,Fruits and Vegetables,142.68,OUT004,Medium,Tier 2,Supermarket Type2,17,3514.42
15.93,Regular,0.01,Meat,168.69,OUT001,High,Tier 2,Supermarket Type1,39,4636.72
13.48,Low Sugar,0.066,Dairy,155.95,OUT004,Medium,Tier 2,Supermarket Type2,17,2703.72
14.08,Regular,0.121,Snack Foods,159.31,OUT001,High,Tier 2,Supermarket Type1,39,4028.09
15.37,No Sugar,0.118,Health and Hygiene,194.52,OUT003,Medium,Tier 1,Departmental Store,27,5038.36
17.48,Low Sugar,0.041,Breads,223.98,OUT003,Medium,Tier 1,Departmental Store,27,6118.55
11.34,No Sugar,0.049,Household,187.99,OUT004,Medium,Tier 2,Supermarket Type2,17,3993.7
16.1,Low Sugar,0.027,Meat,156.81,OUT003,Medium,Tier 1,Departmental Store,27,4433.44
14.46,Regular,0.058,Fruits and Vegetables,181.06,OUT001,High,Tier 2,Supermarket Type1,39,4558.79
13.36,No Sugar,0.022,Others,104.11,OUT004,Medium,Tier 2,Supermarket Type2,17,2735.27
10.38,Regular,0.164,Canned,146.6,OUT004,Medium,Tier 2,Supermarket Type2,17,2931.13
10.46,Regular,0.047,Baking Goods,119.9,OUT001,High,Tier 2,Supermarket Type1,39,2403.26
15.0,Low Sugar,0.161,Fruits and Vegetables,202.46,OUT003,Medium,Tier 1,Departmental Store,27,5118.71
10.32,Regular,0.034,Soft Drinks,127.13,OUT004,Medium,Tier 2,Supermarket Type2,17,2519.76
11.64,Low Sugar,0.097,Snack Foods,78.01,OUT002,Small,Tier 3,Food Mart,28,1811.7
13.79,Low Sugar,0.106,Fruits and Vegetables,162.59,OUT001,High,Tier 2,Supermarket Type1,39,4027.44
16.13,Low Sugar,0.042,Baking Goods,206.83,OUT003,Medium,Tier 1,Departmental Store,27,5462.98
13.26,Regular,0.28,Dairy,137.37,OUT004,Medium,Tier 2,Supermarket Type2,17,3393.59
9.79,Low Sugar,0.027,Dairy,136.67,OUT004,Medium,Tier 2,Supermarket Type2,17,2593.29
14.82,Low Sugar,0.011,Breads,131.95,OUT004,Medium,Tier 2,Supermarket Type2,17,3633.51
11.76,Low Sugar,0.124,Frozen Foods,185.36,OUT001,High,Tier 2,Supermarket Type1,39,4034.76
18.27,No Sugar,0.053,Health and Hygiene,198.07,OUT003,Medium,Tier 1,Departmental Store,27,5767.82
13.0,Low Sugar,0.027,Frozen Foods,146.74,OUT004,Medium,Tier 2,Supermarket Type2,17,3525.12
13.41,Regular,0.029,Fruits and Vegetables,159.99,OUT004,Medium,Tier 2,Supermarket Type2,17,2495.13
12.79,Low Sugar,0.049,Fruits and Vegetables,161.86,OUT004,Medium,Tier 2,Supermarket Type2,17,3788.51
13.69,Low Sugar,0.096,Frozen Foods,117.1,OUT004,Medium,Tier 2,Supermarket Type2,17,3075.49
16.58,Regular,0.184,Canned,148.33,OUT003,Medium,Tier 1,Departmental Store,27,4367.87
14.78,Regular,0.011,Canned,204.99,OUT003,Medium,Tier 1,Departmental Store,27,5118.9
14.51,Low Sugar,0.023,Snack Foods,181.84,OUT001,High,Tier 2,Supermarket Type1,39,4585.27
12.68,Low Sugar,0.064,Fruits and Vegetables,183.73,OUT003,Medium,Tier 1,Departmental Store,27,4209.48
9.4,Low Sugar,0.067,Meat,133.71,OUT001,High,Tier 2,Supermarket Type1,39,2444.93
12.02,No Sugar,0.043,Others,142.68,OUT004,Medium,Tier 2,Supermarket Type2,17,3221.4
14.71,Regular,0.107,Dairy,193.86,OUT001,High,Tier 2,Supermarket Type1,39,4877.12
9.44,No Sugar,0.085,Health and Hygiene,118.9,OUT002,Small,Tier 3,Food Mart,28,677.12
8.48,Regular,0.186,Canned,81.59,OUT002,Small,Tier 3,Food Mart,28,1171.06
11.65,Low Sugar,0.063,Fruits and Vegetables,123.93,OUT004,Medium,Tier 2,Supermarket Type2,17,2752.96
11.94,Low Sugar,0.026,Frozen Foods,127.11,OUT004,Medium,Tier 2,Supermarket Type2,17,2885.14
10.4,Low Sugar,0.07,Snack Foods,161.33,OUT004,Medium,Tier 2,Supermarket Type2,17,3237.31
11.96,Low Sugar,0.018,Snack Foods,151.35,OUT004,Medium,Tier 2,Supermarket Type2,17,3384.58
12.56,Regular,0.018,Baking Goods,150.88,OUT004,Medium,Tier 2,Supermarket Type2,17,3511.58
12.46,No Sugar,0.053,Health and Hygiene,145.98,OUT004,Medium,Tier 2,Supermarket Type2,17,3387.9
9.41,Regular,0.021,Seafood,54.64,OUT002,Small,Tier 3,Food Mart,28,829.1
11.5,Low Sugar,0.081,Baking Goods,142.71,OUT004,Medium,Tier 2,Supermarket Type2,17,3103.4
13.48,Low Sugar,0.057,Snack Foods,109.65,OUT002,Small,Tier 3,Food Mart,28,894.75
11.62,Low Sugar,0.038,Fruits and Vegetables,155.09,OUT004,Medium,Tier 2,Supermarket Type2,17,3383.94
14.23,No Sugar,0.228,Health and Hygiene,154.62,OUT004,Medium,Tier 2,Supermarket Type2,17,3964.1
12.09,Low Sugar,0.152,Frozen Foods,130.63,OUT004,Medium,Tier 2,Supermarket Type2,17,2990.29
15.05,Low Sugar,0.047,Frozen Foods,121.48,OUT004,Medium,Tier 2,Supermarket Type2,17,3473.21
12.29,Low Sugar,0.031,Fruits and Vegetables,126.11,OUT004,Medium,Tier 2,Supermarket Type2,17,2943.66
11.52,Low Sugar,0.051,Snack Foods,96.64,OUT002,Small,Tier 3,Food Mart,28,2167.24
12.64,Low Sugar,0.12,Dairy,175.83,OUT001,High,Tier 2,Supermarket Type1,39,4038.5
14.1,Regular,0.063,Meat,172.18,OUT003,Medium,Tier 1,Departmental Store,27,4295.68
15.05,Regular,0.12,Fruits and Vegetables,198.53,OUT003,Medium,Tier 1,Departmental Store,27,5049.41
12.65,Regular,0.048,Canned,80.12,OUT002,Small,Tier 3,Food Mart,28,2083.75
10.66,Regular,0.025,Snack Foods,130.46,OUT004,Medium,Tier 2,Supermarket Type2,17,2663.66
12.93,Low Sugar,0.042,Dairy,152.25,OUT004,Medium,Tier 2,Supermarket Type2,17,3621.89
11.36,Regular,0.057,Meat,120.57,OUT004,Medium,Tier 2,Supermarket Type2,17,2618.68
12.84,Low Sugar,0.011,Fruits and Vegetables,101.99,OUT004,Medium,Tier 2,Supermarket Type2,17,2574.88
12.99,No Sugar,0.123,Household,155.05,OUT004,Medium,Tier 2,Supermarket Type2,17,3692.48
16.8,Regular,0.033,Breakfast,176.82,OUT003,Medium,Tier 1,Departmental Store,27,4999.19
13.07,No Sugar,0.054,Health and Hygiene,171.1,OUT001,High,Tier 2,Supermarket Type1,39,4040.57
15.16,Regular,0.13,Meat,132.89,OUT004,Medium,Tier 2,Supermarket Type2,17,3731.74
11.85,No Sugar,0.083,Household,131.37,OUT004,Medium,Tier 2,Supermarket Type2,17,2951.49
10.82,Regular,0.073,Frozen Foods,106.25,OUT002,Small,Tier 3,Food Mart,28,2204.44
11.19,Regular,0.079,Fruits and Vegetables,89.77,OUT002,Small,Tier 3,Food Mart,28,1950.14
14.15,Low Sugar,0.021,Breads,147.57,OUT004,Medium,Tier 2,Supermarket Type2,17,3801.62
12.94,Low Sugar,0.027,Soft Drinks,120.3,OUT004,Medium,Tier 2,Supermarket Type2,17,2971.58
11.7,Regular,0.185,Dairy,199.75,OUT001,High,Tier 2,Supermarket Type1,39,3242.67
15.73,Low Sugar,0.066,Snack Foods,182.77,OUT001,High,Tier 2,Supermarket Type1,39,3443.57
9.96,Low Sugar,0.029,Snack Foods,147.98,OUT004,Medium,Tier 2,Supermarket Type2,17,2864.34
13.7,Regular,0.089,Baking Goods,152.91,OUT004,Medium,Tier 2,Supermarket Type2,17,3809.67
11.96,Regular,0.009,Baking Goods,159.43,OUT004,Medium,Tier 2,Supermarket Type2,17,3549.41
16.19,Regular,0.006,Meat,123.22,OUT004,Medium,Tier 2,Supermarket Type2,17,3766.21
11.51,Low Sugar,0.041,Snack Foods,151.54,OUT004,Medium,Tier 2,Supermarket Type2,17,3287.16
16.35,Low Sugar,0.08,Baking Goods,202.49,OUT003,Medium,Tier 1,Departmental Store,27,5422.91
15.11,Low Sugar,0.032,Fruits and Vegetables,204.18,OUT003,Medium,Tier 1,Departmental Store,27,5179.13
13.45,Low Sugar,0.032,Frozen Foods,126.96,OUT004,Medium,Tier 2,Supermarket Type2,17,3223.27
11.86,No Sugar,0.057,Household,142.51,OUT004,Medium,Tier 2,Supermarket Type2,17,3182.18
13.97,Low Sugar,0.025,Frozen Foods,188.22,OUT001,High,Tier 2,Supermarket Type1,39,4594.32
14.18,Regular,0.03,Snack Foods,224.33,OUT003,Medium,Tier 1,Departmental Store,27,5380.13
10.72,Regular,0.097,Frozen Foods,130.54,OUT004,Medium,Tier 2,Supermarket Type2,17,2679.3
13.33,Low Sugar,0.129,Fruits and Vegetables,154.17,OUT004,Medium,Tier 2,Supermarket Type2,17,3752.72
11.19,Low Sugar,0.015,Fruits and Vegetables,168.64,OUT004,Medium,Tier 2,Supermarket Type2,17,3565.22
10.72,No Sugar,0.031,Health and Hygiene,168.18,OUT004,Medium,Tier 2,Supermarket Type2,17,3448.24
15.33,Regular,0.111,Fruits and Vegetables,210.12,OUT003,Medium,Tier 1,Departmental Store,27,5350.05
10.85,Regular,0.061,Snack Foods,121.22,OUT004,Medium,Tier 2,Supermarket Type2,17,1755.32
10.83,Low Sugar,0.034,Fruits and Vegetables,133.11,OUT004,Medium,Tier 2,Supermarket Type2,17,1978.82
16.4,No Sugar,0.227,Health and Hygiene,158.93,OUT001,High,Tier 2,Supermarket Type1,39,4543.65
11.19,No Sugar,0.049,Household,95.12,OUT002,Small,Tier 3,Food Mart,28,2059.89
8.69,No Sugar,0.087,Household,92.38,OUT002,Small,Tier 3,Food Mart,28,1440.41
16.49,Regular,0.031,Frozen Foods,155.06,OUT002,Small,Tier 3,Food Mart,28,950.99
14.35,Low Sugar,0.039,Dairy,179.76,OUT001,High,Tier 2,Supermarket Type1,39,4505.87
10.92,Low Sugar,0.052,Fruits and Vegetables,100.26,OUT002,Small,Tier 3,Food Mart,28,2104.26
14.09,Low Sugar,0.074,Breads,179.77,OUT003,Medium,Tier 1,Departmental Store,27,4448.32
12.15,Regular,0.053,Canned,156.65,OUT004,Medium,Tier 2,Supermarket Type2,17,3536.88
8.44,No Sugar,0.188,Health and Hygiene,102.17,OUT001,High,Tier 2,Supermarket Type1,39,4466.61
12.36,No Sugar,0.098,Household,102.01,OUT001,High,Tier 2,Supermarket Type1,39,2466.62
13.42,Regular,0.033,Baking Goods,148.54,OUT004,Medium,Tier 2,Supermarket Type2,17,3658.66
11.36,Low Sugar,0.03,Meat,117.89,OUT004,Medium,Tier 2,Supermarket Type2,17,2565.43
11.48,Regular,0.025,Baking Goods,159.46,OUT004,Medium,Tier 2,Supermarket Type2,17,3441.95
14.3,Regular,0.02,Canned,138.49,OUT004,Medium,Tier 2,Supermarket Type2,17,3650.65
16.64,Regular,0.094,Canned,194.6,OUT003,Medium,Tier 1,Departmental Store,27,5327.33
13.45,Regular,0.106,Baking Goods,141.05,OUT004,Medium,Tier 2,Supermarket Type2,17,3511.42
7.3,Low Sugar,0.066,Meat,106.72,OUT002,Small,Tier 3,Food Mart,28,1417.59
12.28,No Sugar,0.012,Household,206.85,OUT001,High,Tier 2,Supermarket Type1,39,4593.12
9.41,Low Sugar,0.055,Snack Foods,139.67,OUT004,Medium,Tier 2,Supermarket Type2,17,2569.44
12.46,No Sugar,0.053,Others,155.15,OUT004,Medium,Tier 2,Supermarket Type2,17,3575.15
11.9,Regular,0.076,Fruits and Vegetables,136.6,OUT004,Medium,Tier 2,Supermarket Type2,17,3070.39
15.72,No Sugar,0.028,Health and Hygiene,147.45,OUT001,High,Tier 2,Supermarket Type1,39,4155.54
8.81,Regular,0.123,Meat,142.88,OUT004,Medium,Tier 2,Supermarket Type2,17,2500.82
17.33,No Sugar,0.038,Health and Hygiene,195.06,OUT003,Medium,Tier 1,Departmental Store,27,5492.55
11.27,Low Sugar,0.123,Hard Drinks,116.22,OUT004,Medium,Tier 2,Supermarket Type2,17,2509.49
14.24,Low Sugar,0.135,Frozen Foods,101.53,OUT004,Medium,Tier 2,Supermarket Type2,17,2881.17
13.95,No Sugar,0.021,Health and Hygiene,111.9,OUT004,Medium,Tier 2,Supermarket Type2,17,3027.72
15.59,Regular,0.05,Fruits and Vegetables,180.74,OUT001,High,Tier 2,Supermarket Type1,39,4806.88
13.92,Low Sugar,0.172,Frozen Foods,147.74,OUT004,Medium,Tier 2,Supermarket Type2,17,3754.24
12.26,Low Sugar,0.157,Dairy,133.14,OUT004,Medium,Tier 2,Supermarket Type2,17,3079.25
10.16,No Sugar,0.054,Health and Hygiene,111.96,OUT002,Small,Tier 3,Food Mart,28,2173.27
17.19,Low Sugar,0.077,Snack Foods,175.17,OUT003,Medium,Tier 1,Departmental Store,27,5054.71
12.55,Low Sugar,0.025,Soft Drinks,138.27,OUT004,Medium,Tier 2,Supermarket Type2,17,3251.68
7.04,Regular,0.025,Starchy Foods,110.88,OUT002,Small,Tier 3,Food Mart,28,1445.88
13.1,No Sugar,0.068,Health and Hygiene,152.97,OUT004,Medium,Tier 2,Supermarket Type2,17,3674.87
13.52,Low Sugar,0.024,Dairy,169.29,OUT001,High,Tier 2,Supermarket Type1,39,4104.04
11.72,Low Sugar,0.054,Snack Foods,143.43,OUT004,Medium,Tier 2,Supermarket Type2,17,3167.74
13.65,No Sugar,0.077,Household,187.98,OUT001,High,Tier 2,Supermarket Type1,39,4516.13
14.88,Regular,0.056,Snack Foods,144.87,OUT004,Medium,Tier 2,Supermarket Type2,17,3911.89
13.55,Low Sugar,0.026,Frozen Foods,201.53,OUT001,High,Tier 2,Supermarket Type1,39,4770.38
14.15,Low Sugar,0.014,Fruits and Vegetables,169.94,OUT003,Medium,Tier 1,Departmental Store,27,4260.86
12.7,Low Sugar,0.021,Frozen Foods,153.44,OUT004,Medium,Tier 2,Supermarket Type2,17,3594.93
12.3,No Sugar,0.054,Health and Hygiene,119.13,OUT004,Medium,Tier 2,Supermarket Type2,17,2802.63
13.15,Low Sugar,0.143,Breakfast,123.37,OUT004,Medium,Tier 2,Supermarket Type2,17,3919.52
10.5,Low Sugar,0.041,Meat,95.15,OUT002,Small,Tier 3,Food Mart,28,1905.89
11.99,Regular,0.091,Breads,176.49,OUT004,Medium,Tier 2,Supermarket Type2,17,3906.85
11.19,Low Sugar,0.077,Baking Goods,160.45,OUT004,Medium,Tier 2,Supermarket Type2,17,3398.06
12.62,Low Sugar,0.007,Starchy Foods,181.96,OUT001,High,Tier 2,Supermarket Type1,39,4159.59
12.87,Low Sugar,0.014,Soft Drinks,150.73,OUT004,Medium,Tier 2,Supermarket Type2,17,3578.6
9.84,Regular,0.033,Frozen Foods,112.43,OUT002,Small,Tier 3,Food Mart,28,2108.62
13.22,No Sugar,0.292,Household,195.82,OUT001,High,Tier 2,Supermarket Type1,39,4579.84
13.9,Low Sugar,0.079,Soft Drinks,185.16,OUT001,High,Tier 2,Supermarket Type1,39,4515.95
