Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Id,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total,Store_Age
9.29,No Sugar,0.034,Household,127.26,OUT002,Small,Tier 3,Food Mart,2288.48,28
9.11,Low Sugar,0.022,Soft Drinks,97.82,OUT002,Small,Tier 3,Food Mart,1646.53,28
14.88,Low Sugar,0.026,Canned,139.44,OUT004,Medium,Tier 2,Supermarket Type2,3801.97,17
15.47,Low Sugar,0.159,Fruits and Vegetables,180.54,OUT001,High,Tier 2,Supermarket Type1,4775.21,39
10.36,Regular,0.021,Meat,137.03,OUT004,Medium,Tier 2,Supermarket Type2,2729.96,17
14.83,Low Sugar,0.009,Fruits and Vegetables,161.92,OUT003,Medium,Tier 1,Departmental Store,4249.83,27
10.77,No Sugar,0.081,Health and Hygiene,139.28,OUT004,Medium,Tier 2,Supermarket Type2,2870.0,17
12.8,Low Sugar,0.085,Breads,139.4,OUT004,Medium,Tier 2,Supermarket Type2,3518.98,17
9.16,Low Sugar,0.016,Hard Drinks,97.23,OUT002,Small,Tier 3,Food Mart,1645.96,28
13.43,Low Sugar,0.01,Fruits and Vegetables,134.38,OUT004,Medium,Tier 2,Supermarket Type2,3369.65,17
13.53,Regular,0.136,Baking Goods,133.19,OUT004,Medium,Tier 2,Supermarket Type2,3367.73,17
13.74,Low Sugar,0.027,Canned,142.6,OUT004,Medium,Tier 2,Supermarket Type2,3609.32,17
12.72,Regular,0.119,Canned,125.06,OUT004,Medium,Tier 2,Supermarket Type2,3018.35,17
11.91,Low Sugar,0.127,Hard Drinks,159.0,OUT004,Medium,Tier 2,Supermarket Type2,3529.48,17
17.34,Low Sugar,0.025,Snack Foods,239.31,OUT003,Medium,Tier 1,Departmental Store,6277.33,27
11.38,Low Sugar,0.013,Seafood,128.73,OUT004,Medium,Tier 2,Supermarket Type2,2790.57,17
10.86,Regular,0.08,Canned,208.49,OUT002,Small,Tier 3,Food Mart,2078.06,28
12.89,Low Sugar,0.154,Baking Goods,120.58,OUT004,Medium,Tier 2,Supermarket Type2,2965.95,17
10.84,Regular,0.066,Meat,120.6,OUT004,Medium,Tier 2,Supermarket Type2,2502.33,17
13.84,Low Sugar,0.054,Baking Goods,149.18,OUT004,Medium,Tier 2,Supermarket Type2,3764.66,17
15.32,Low Sugar,0.033,Fruits and Vegetables,166.49,OUT003,Medium,Tier 1,Departmental Store,6706.11,27
14.63,Regular,0.112,Fruits and Vegetables,191.61,OUT001,High,Tier 2,Supermarket Type1,4812.87,39
15.67,Low Sugar,0.041,Canned,171.66,OUT001,High,Tier 2,Supermarket Type1,4638.56,39
14.5,Regular,0.033,Starchy Foods,177.73,OUT003,Medium,Tier 1,Departmental Store,4498.59,27
12.66,No Sugar,0.141,Health and Hygiene,146.25,OUT004,Medium,Tier 2,Supermarket Type2,3439.9,17
13.7,Regular,0.03,Fruits and Vegetables,147.42,OUT004,Medium,Tier 2,Supermarket Type2,3697.17,17
12.53,Low Sugar,0.036,Meat,131.28,OUT004,Medium,Tier 2,Supermarket Type2,3103.81,17
11.41,Regular,0.099,Dairy,167.06,OUT004,Medium,Tier 2,Supermarket Type2,3582.09,17
13.25,Low Sugar,0.091,Soft Drinks,111.71,OUT004,Medium,Tier 2,Supermarket Type2,2864.96,17
12.25,Low Sugar,0.012,Hard Drinks,188.2,OUT003,Medium,Tier 1,Departmental Store,4205.63,27
12.65,Low Sugar,0.031,Soft Drinks,143.48,OUT004,Medium,Tier 2,Supermarket Type2,3379.42,17
17.21,Low Sugar,0.033,Fruits and Vegetables,199.57,OUT003,Medium,Tier 1,Departmental Store,5558.43,27
9.01,Regular,0.099,Fruits and Vegetables,53.86,OUT002,Small,Tier 3,Food Mart,723.24,28
8.81,No Sugar,0.026,Others,89.94,OUT002,Small,Tier 3,Food Mart,1417.64,28
15.52,No Sugar,0.044,Others,185.24,OUT001,High,Tier 2,Supermarket Type1,4870.75,39
14.91,Regular,0.042,Meat,172.32,OUT003,Medium,Tier 1,Departmental Store,4480.33,27
11.49,Regular,0.064,Canned,148.49,OUT004,Medium,Tier 2,Supermarket Type2,3221.39,17
14.07,Low Sugar,0.1,Breads,138.43,OUT004,Medium,Tier 2,Supermarket Type2,3598.36,17
12.54,Low Sugar,0.188,Soft Drinks,113.72,OUT004,Medium,Tier 2,Supermarket Type2,2746.67,17
18.54,Low Sugar,0.057,Breads,171.9,OUT003,Medium,Tier 1,Departmental Store,5292.66,27
9.21,Regular,0.113,Dairy,80.14,OUT002,Small,Tier 3,Food Mart,1306.34,28
15.2,Low Sugar,0.077,Frozen Foods,184.73,OUT003,Medium,Tier 1,Departmental Store,5994.13,27
11.51,Regular,0.161,Canned,141.2,OUT004,Medium,Tier 2,Supermarket Type2,3075.47,17
12.5,Regular,0.071,Canned,144.48,OUT004,Medium,Tier 2,Supermarket Type2,3366.67,17
9.35,Low Sugar,0.049,Canned,102.96,OUT002,Small,Tier 3,Food Mart,1804.36,28
15.55,Regular,0.081,Snack Foods,207.8,OUT003,Medium,Tier 1,Departmental Store,5351.11,27
10.55,Low Sugar,0.096,Snack Foods,190.65,OUT004,Medium,Tier 2,Supermarket Type2,3869.95,17
11.4,Low Sugar,0.174,Soft Drinks,165.93,OUT004,Medium,Tier 2,Supermarket Type2,3556.31,17
13.2,Low Sugar,0.124,Fruits and Vegetables,159.31,OUT004,Medium,Tier 2,Supermarket Type2,3828.79,17
14.35,Low Sugar,0.039,Dairy,179.76,OUT001,High,Tier 2,Supermarket Type1,4505.87,39
16.13,Low Sugar,0.071,Breads,205.27,OUT003,Medium,Tier 1,Departmental Store,5430.32,27
15.62,Regular,0.052,Frozen Foods,183.02,OUT001,High,Tier 2,Supermarket Type1,4860.93,39
13.01,Low Sugar,0.089,Meat,135.16,OUT004,Medium,Tier 2,Supermarket Type2,3290.51,17
15.0,No Sugar,0.064,Household,188.52,OUT001,High,Tier 2,Supermarket Type1,4832.14,39
15.54,No Sugar,0.025,Health and Hygiene,191.21,OUT003,Medium,Tier 1,Departmental Store,5009.25,27
11.16,Low Sugar,0.096,Meat,142.9,OUT004,Medium,Tier 2,Supermarket Type2,3032.16,17
9.24,No Sugar,0.024,Household,119.52,OUT002,Small,Tier 3,Food Mart,828.37,28
7.99,Regular,0.016,Frozen Foods,135.44,OUT002,Small,Tier 3,Food Mart,2163.22,28
11.11,Low Sugar,0.034,Snack Foods,153.58,OUT004,Medium,Tier 2,Supermarket Type2,3238.29,17
15.36,Low Sugar,0.01,Starchy Foods,181.89,OUT001,High,Tier 2,Supermarket Type1,4778.74,39
14.2,Regular,0.007,Canned,166.57,OUT003,Medium,Tier 1,Departmental Store,4202.12,27
16.94,Regular,0.039,Canned,191.11,OUT003,Medium,Tier 1,Departmental Store,5324.71,27
15.9,Low Sugar,0.016,Meat,182.28,OUT003,Medium,Tier 1,Departmental Store,4908.0,27
15.6,No Sugar,0.079,Health and Hygiene,163.51,OUT003,Medium,Tier 1,Departmental Store,4455.93,27
15.22,Low Sugar,0.011,Starchy Foods,130.5,OUT004,Medium,Tier 2,Supermarket Type2,3695.61,17
15.25,Regular,0.085,Canned,122.62,OUT004,Medium,Tier 2,Supermarket Type2,3540.01,17
13.97,Low Sugar,0.142,Soft Drinks,142.2,OUT004,Medium,Tier 2,Supermarket Type2,3651.46,17
14.41,Low Sugar,0.141,Snack Foods,169.16,OUT003,Medium,Tier 1,Departmental Store,4303.23,27
12.85,Low Sugar,0.112,Snack Foods,154.57,OUT004,Medium,Tier 2,Supermarket Type2,3651.71,17
10.71,Low Sugar,0.082,Fruits and Vegetables,114.58,OUT001,High,Tier 2,Supermarket Type1,2349.74,39
12.69,Low Sugar,0.031,Breads,109.59,OUT004,Medium,Tier 2,Supermarket Type2,2696.58,17
10.74,No Sugar,0.015,Health and Hygiene,101.94,OUT002,Small,Tier 3,Food Mart,2098.95,28
9.85,Low Sugar,0.09,Soft Drinks,128.55,OUT001,High,Tier 2,Supermarket Type1,2442.1,39
11.93,Low Sugar,0.034,Fruits and Vegetables,198.39,OUT003,Medium,Tier 1,Departmental Store,4339.96,27
12.98,Regular,0.032,Canned,140.64,OUT004,Medium,Tier 2,Supermarket Type2,3395.63,17
14.25,Low Sugar,0.027,Fruits and Vegetables,148.87,OUT004,Medium,Tier 2,Supermarket Type2,3851.02,17
14.66,Low Sugar,0.014,Hard Drinks,168.73,OUT003,Medium,Tier 1,Departmental Store,4350.25,27
14.86,Low Sugar,0.031,Canned,190.16,OUT001,High,Tier 2,Supermarket Type1,4833.74,39
13.35,Low Sugar,0.076,Baking Goods,117.88,OUT004,Medium,Tier 2,Supermarket Type2,3015.25,17
13.5,Low Sugar,0.091,Snack Foods,182.58,OUT003,Medium,Tier 1,Departmental Store,4372.56,27
12.64,Low Sugar,0.113,Frozen Foods,149.42,OUT004,Medium,Tier 2,Supermarket Type2,3498.16,17
8.06,Low Sugar,0.049,Fruits and Vegetables,129.72,OUT002,Small,Tier 3,Food Mart,2059.98,28
11.81,Low Sugar,0.12,Fruits and Vegetables,160.44,OUT004,Medium,Tier 2,Supermarket Type2,3544.84,17
13.22,Low Sugar,0.164,Snack Foods,123.76,OUT004,Medium,Tier 2,Supermarket Type2,3105.09,17
16.13,No Sugar,0.023,Household,189.18,OUT003,Medium,Tier 1,Departmental Store,5100.69,27
13.12,Low Sugar,0.177,Dairy,206.69,OUT001,High,Tier 2,Supermarket Type1,4779.32,39
13.29,Low Sugar,0.078,Meat,154.82,OUT004,Medium,Tier 2,Supermarket Type2,3756.22,17
17.08,Low Sugar,0.174,Frozen Foods,192.86,OUT003,Medium,Tier 1,Departmental Store,5391.51,27
11.11,No Sugar,0.297,Health and Hygiene,185.72,OUT004,Medium,Tier 2,Supermarket Type2,3896.79,17
11.79,Low Sugar,0.097,Soft Drinks,156.35,OUT004,Medium,Tier 2,Supermarket Type2,3449.41,17
12.14,Low Sugar,0.154,Baking Goods,132.23,OUT004,Medium,Tier 2,Supermarket Type2,3033.74,17
10.04,Low Sugar,0.168,Snack Foods,111.63,OUT002,Small,Tier 3,Food Mart,2139.18,28
11.3,No Sugar,0.059,Household,105.62,OUT001,High,Tier 2,Supermarket Type1,2300.56,39
11.36,Regular,0.061,Frozen Foods,126.82,OUT004,Medium,Tier 2,Supermarket Type2,2746.91,17
15.07,Low Sugar,0.035,Soft Drinks,158.7,OUT003,Medium,Tier 1,Departmental Store,4238.63,27
13.18,No Sugar,0.053,Household,186.55,OUT003,Medium,Tier 1,Departmental Store,4380.24,27
8.02,Low Sugar,0.045,Meat,145.98,OUT001,High,Tier 2,Supermarket Type1,2385.54,39
13.59,Regular,0.131,Fruits and Vegetables,223.98,OUT003,Medium,Tier 1,Departmental Store,5239.41,27
12.02,Regular,0.063,Snack Foods,120.23,OUT004,Medium,Tier 2,Supermarket Type2,2762.42,17
9.36,Low Sugar,0.006,Snack Foods,94.31,OUT002,Small,Tier 3,Food Mart,1629.55,28
11.11,Low Sugar,0.103,Dairy,127.5,OUT004,Medium,Tier 2,Supermarket Type2,2704.5,17
10.59,No Sugar,0.136,Household,173.42,OUT004,Medium,Tier 2,Supermarket Type2,3526.79,17
15.38,Regular,0.05,Canned,150.32,OUT001,High,Tier 2,Supermarket Type1,4135.8,39
8.64,Low Sugar,0.116,Fruits and Vegetables,105.07,OUT002,Small,Tier 3,Food Mart,1687.12,28
10.37,Low Sugar,0.061,Fruits and Vegetables,110.76,OUT002,Small,Tier 3,Food Mart,2195.72,28
11.26,Low Sugar,0.104,Dairy,133.62,OUT004,Medium,Tier 2,Supermarket Type2,2862.91,17
12.77,Low Sugar,0.027,Baking Goods,146.96,OUT004,Medium,Tier 2,Supermarket Type2,3479.11,17
12.15,Low Sugar,0.013,Canned,141.87,OUT004,Medium,Tier 2,Supermarket Type2,3233.42,17
14.38,Low Sugar,0.129,Baking Goods,194.04,OUT001,High,Tier 2,Supermarket Type1,4805.93,39
11.82,Low Sugar,0.023,Snack Foods,140.98,OUT004,Medium,Tier 2,Supermarket Type2,3141.92,17
12.56,Regular,0.031,Snack Foods,158.58,OUT003,Medium,Tier 1,Departmental Store,6707.41,27
12.09,Low Sugar,0.129,Soft Drinks,161.54,OUT004,Medium,Tier 2,Supermarket Type2,3622.97,17
9.39,Regular,0.018,Fruits and Vegetables,151.86,OUT004,Medium,Tier 2,Supermarket Type2,2815.55,17
10.6,Low Sugar,0.039,Frozen Foods,110.61,OUT002,Small,Tier 3,Food Mart,2243.02,28
11.78,Low Sugar,0.023,Canned,171.33,OUT004,Medium,Tier 2,Supermarket Type2,3753.94,17
18.92,No Sugar,0.152,Others,228.58,OUT003,Medium,Tier 1,Departmental Store,6537.68,27
12.85,Regular,0.13,Fruits and Vegetables,132.12,OUT004,Medium,Tier 2,Supermarket Type2,3191.96,17
11.15,Low Sugar,0.026,Meat,124.33,OUT004,Medium,Tier 2,Supermarket Type2,2649.55,17
11.26,Regular,0.055,Fruits and Vegetables,68.44,OUT002,Small,Tier 3,Food Mart,1530.97,28
10.28,No Sugar,0.01,Others,148.37,OUT004,Medium,Tier 2,Supermarket Type2,2944.23,17
11.31,Regular,0.067,Meat,208.21,OUT003,Medium,Tier 1,Departmental Store,4402.55,27
10.5,Low Sugar,0.031,Snack Foods,99.99,OUT002,Small,Tier 3,Food Mart,2003.66,28
9.23,Low Sugar,0.08,Soft Drinks,176.94,OUT004,Medium,Tier 2,Supermarket Type2,3292.66,17
14.31,Low Sugar,0.109,Snack Foods,151.43,OUT004,Medium,Tier 2,Supermarket Type2,3916.78,17
14.75,Low Sugar,0.104,Dairy,148.76,OUT004,Medium,Tier 2,Supermarket Type2,3961.79,17
15.67,Low Sugar,0.077,Baking Goods,191.78,OUT003,Medium,Tier 1,Departmental Store,5050.45,27
11.72,Low Sugar,0.023,Dairy,169.4,OUT004,Medium,Tier 2,Supermarket Type2,3984.14,17
12.8,Regular,0.075,Fruits and Vegetables,144.69,OUT004,Medium,Tier 2,Supermarket Type2,3438.07,17
13.85,No Sugar,0.036,Health and Hygiene,154.78,OUT004,Medium,Tier 2,Supermarket Type2,3882.62,17
13.66,Regular,0.108,Frozen Foods,81.08,OUT001,High,Tier 2,Supermarket Type1,2332.23,39
14.07,Regular,0.077,Canned,197.49,OUT001,High,Tier 2,Supermarket Type1,4806.62,39
13.87,Low Sugar,0.099,Snack Foods,116.18,OUT004,Medium,Tier 2,Supermarket Type2,3097.16,17
9.29,No Sugar,0.021,Health and Hygiene,67.99,OUT002,Small,Tier 3,Food Mart,1076.93,28
15.13,Low Sugar,0.026,Soft Drinks,128.72,OUT004,Medium,Tier 2,Supermarket Type2,3638.51,17
12.91,Regular,0.024,Snack Foods,162.0,OUT004,Medium,Tier 2,Supermarket Type2,3818.14,17
15.0,Low Sugar,0.04,Dairy,153.86,OUT001,High,Tier 2,Supermarket Type1,4122.73,39
15.69,Low Sugar,0.158,Fruits and Vegetables,137.22,OUT004,Medium,Tier 2,Supermarket Type2,3938.59,17
13.99,Regular,0.021,Snack Foods,139.73,OUT004,Medium,Tier 2,Supermarket Type2,3605.77,17
11.12,Low Sugar,0.074,Baking Goods,129.51,OUT004,Medium,Tier 2,Supermarket Type2,2749.33,17
10.9,Low Sugar,0.048,Soft Drinks,140.8,OUT004,Medium,Tier 2,Supermarket Type2,2929.21,17
15.17,Regular,0.033,Snack Foods,200.39,OUT003,Medium,Tier 1,Departmental Store,5114.66,27
8.9,Low Sugar,0.074,Baking Goods,102.65,OUT002,Small,Tier 3,Food Mart,1697.38,28
9.01,Regular,0.046,Fruits and Vegetables,104.24,OUT003,Medium,Tier 1,Departmental Store,5623.48,27
14.12,Low Sugar,0.038,Frozen Foods,144.32,OUT004,Medium,Tier 2,Supermarket Type2,5007.32,17
11.4,Low Sugar,0.066,Fruits and Vegetables,183.68,OUT004,Medium,Tier 2,Supermarket Type2,3919.07,17
11.01,Regular,0.016,Soft Drinks,136.7,OUT004,Medium,Tier 2,Supermarket Type2,2870.86,17
14.99,Low Sugar,0.007,Fruits and Vegetables,132.97,OUT004,Medium,Tier 2,Supermarket Type2,3692.89,17
10.59,Low Sugar,0.074,Dairy,122.2,OUT001,High,Tier 2,Supermarket Type1,2479.34,39
15.04,Low Sugar,0.049,Snack Foods,196.49,OUT003,Medium,Tier 1,Departmental Store,5004.0,27
14.66,Low Sugar,0.036,Meat,159.94,OUT001,High,Tier 2,Supermarket Type1,4171.93,39
12.13,Regular,0.039,Baking Goods,107.33,OUT004,Medium,Tier 2,Supermarket Type2,2521.74,17
13.1,Low Sugar,0.046,Breakfast,133.97,OUT004,Medium,Tier 2,Supermarket Type2,3286.68,17
10.69,Low Sugar,0.027,Baking Goods,132.3,OUT004,Medium,Tier 2,Supermarket Type2,2707.49,17
10.33,Low Sugar,0.061,Frozen Foods,164.31,OUT004,Medium,Tier 2,Supermarket Type2,3280.89,17
12.2,Low Sugar,0.015,Fruits and Vegetables,154.52,OUT004,Medium,Tier 2,Supermarket Type2,3503.22,17
12.5,Regular,0.013,Fruits and Vegetables,166.72,OUT004,Medium,Tier 2,Supermarket Type2,3820.74,17
13.48,Low Sugar,0.066,Snack Foods,155.23,OUT004,Medium,Tier 2,Supermarket Type2,3807.16,17
9.03,Low Sugar,0.015,Soft Drinks,146.39,OUT004,Medium,Tier 2,Supermarket Type2,2622.29,17
9.79,Low Sugar,0.062,Dairy,105.19,OUT002,Small,Tier 3,Food Mart,1949.2,28
16.72,No Sugar,0.093,Household,221.09,OUT003,Medium,Tier 1,Departmental Store,5888.67,27
11.09,Low Sugar,0.022,Meat,130.95,OUT004,Medium,Tier 2,Supermarket Type2,2770.43,17
16.21,Low Sugar,0.149,Dairy,153.28,OUT003,Medium,Tier 1,Departmental Store,4385.81,27
14.81,No Sugar,0.164,Others,208.64,OUT003,Medium,Tier 1,Departmental Store,6740.07,27
10.63,Low Sugar,0.015,Dairy,130.63,OUT004,Medium,Tier 2,Supermarket Type2,2660.71,17
14.52,Regular,0.044,Frozen Foods,186.51,OUT001,High,Tier 2,Supermarket Type1,4683.72,39
9.63,No Sugar,0.121,Health and Hygiene,142.24,OUT004,Medium,Tier 2,Supermarket Type2,2671.29,17
8.18,No Sugar,0.161,Household,154.41,OUT004,Medium,Tier 2,Supermarket Type2,2593.66,17
14.05,No Sugar,0.04,Health and Hygiene,137.43,OUT004,Medium,Tier 2,Supermarket Type2,3573.44,17
10.86,Low Sugar,0.041,Meat,154.43,OUT004,Medium,Tier 2,Supermarket Type2,3198.65,17
11.99,Low Sugar,0.184,Baking Goods,71.29,OUT002,Small,Tier 3,Food Mart,1754.44,28
13.19,Regular,0.064,Snack Foods,150.89,OUT004,Medium,Tier 2,Supermarket Type2,3652.99,17
12.21,Low Sugar,0.021,Seafood,107.93,OUT004,Medium,Tier 2,Supermarket Type2,2552.81,17
15.41,Low Sugar,0.133,Dairy,166.49,OUT003,Medium,Tier 1,Departmental Store,4473.54,27
11.87,Low Sugar,0.058,Frozen Foods,140.58,OUT004,Medium,Tier 2,Supermarket Type2,4479.13,17
13.54,Regular,0.025,Meat,149.17,OUT004,Medium,Tier 2,Supermarket Type2,3268.01,17
13.93,No Sugar,0.086,Health and Hygiene,186.31,OUT001,High,Tier 2,Supermarket Type1,4545.15,39
13.7,No Sugar,0.16,Health and Hygiene,184.37,OUT003,Medium,Tier 1,Departmental Store,4453.75,27
15.05,Low Sugar,0.047,Frozen Foods,121.48,OUT004,Medium,Tier 2,Supermarket Type2,3473.21,17
13.15,Low Sugar,0.143,Breakfast,123.37,OUT004,Medium,Tier 2,Supermarket Type2,3919.52,17
10.71,Low Sugar,0.048,Baking Goods,155.95,OUT004,Medium,Tier 2,Supermarket Type2,3196.34,17
10.55,Low Sugar,0.077,Snack Foods,150.88,OUT004,Medium,Tier 2,Supermarket Type2,3057.49,17
11.17,Low Sugar,0.076,Snack Foods,132.94,OUT004,Medium,Tier 2,Supermarket Type2,2830.8,17
9.85,No Sugar,0.021,Health and Hygiene,171.56,OUT004,Medium,Tier 2,Supermarket Type2,3322.39,17
11.79,No Sugar,0.11,Others,106.73,OUT001,High,Tier 2,Supermarket Type1,2434.25,39
12.61,Regular,0.042,Snack Foods,132.58,OUT004,Medium,Tier 2,Supermarket Type2,3147.59,17
11.61,Regular,0.035,Canned,123.09,OUT004,Medium,Tier 2,Supermarket Type2,2727.15,17
11.52,No Sugar,0.058,Household,101.99,OUT002,Small,Tier 3,Food Mart,2274.97,28
16.58,Low Sugar,0.052,Frozen Foods,159.67,OUT001,High,Tier 2,Supermarket Type1,4549.17,39
14.36,Low Sugar,0.039,Canned,117.03,OUT004,Medium,Tier 2,Supermarket Type2,3226.24,17
14.36,Low Sugar,0.107,Fruits and Vegetables,164.93,OUT003,Medium,Tier 1,Departmental Store,4206.12,27
12.63,Low Sugar,0.039,Breads,124.77,OUT004,Medium,Tier 2,Supermarket Type2,2991.53,17
15.42,Low Sugar,0.028,Dairy,181.59,OUT001,High,Tier 2,Supermarket Type1,4786.53,39
13.68,Low Sugar,0.063,Fruits and Vegetables,114.36,OUT004,Medium,Tier 2,Supermarket Type2,3017.08,17
9.98,No Sugar,0.024,Household,186.83,OUT004,Medium,Tier 2,Supermarket Type2,3662.77,17
10.3,Low Sugar,0.098,Soft Drinks,142.54,OUT004,Medium,Tier 2,Supermarket Type2,2828.91,17
12.33,Regular,0.044,Fruits and Vegetables,116.39,OUT004,Medium,Tier 2,Supermarket Type2,2752.82,17
13.65,Regular,0.014,Fruits and Vegetables,157.15,OUT004,Medium,Tier 2,Supermarket Type2,3886.7,17
9.67,Low Sugar,0.064,Baking Goods,133.88,OUT004,Medium,Tier 2,Supermarket Type2,2511.14,17
9.56,No Sugar,0.098,Household,94.4,OUT002,Small,Tier 3,Food Mart,1677.42,28
11.68,Regular,0.04,Breads,128.59,OUT004,Medium,Tier 2,Supermarket Type2,2855.37,17
11.31,No Sugar,0.099,Health and Hygiene,152.64,OUT004,Medium,Tier 2,Supermarket Type2,3265.06,17
13.26,Low Sugar,0.024,Breads,156.17,OUT004,Medium,Tier 2,Supermarket Type2,3776.76,17
14.08,Regular,0.074,Breads,127.51,OUT004,Medium,Tier 2,Supermarket Type2,3375.71,17
12.89,Low Sugar,0.153,Soft Drinks,170.29,OUT004,Medium,Tier 2,Supermarket Type2,3983.47,17
13.81,Low Sugar,0.034,Dairy,189.95,OUT001,High,Tier 2,Supermarket Type1,4593.43,39
13.22,No Sugar,0.022,Household,124.22,OUT004,Medium,Tier 2,Supermarket Type2,3115.36,17
16.69,Regular,0.147,Canned,169.3,OUT003,Medium,Tier 1,Departmental Store,4238.57,27
11.25,No Sugar,0.021,Household,144.48,OUT004,Medium,Tier 2,Supermarket Type2,3084.35,17
16.35,No Sugar,0.06,Household,153.6,OUT003,Medium,Tier 1,Departmental Store,4423.44,27
13.81,No Sugar,0.11,Household,154.16,OUT004,Medium,Tier 2,Supermarket Type2,3860.14,17
15.52,Low Sugar,0.085,Snack Foods,191.57,OUT003,Medium,Tier 1,Departmental Store,5012.4,27
10.0,Low Sugar,0.023,Starchy Foods,146.58,OUT004,Medium,Tier 2,Supermarket Type2,2845.23,17
